AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,FHRSID,Lat,Lon,LABusinessID,LACode,LAEmail,LAName,LAWebsite,NewRatingPending,PostCode,RatingDate,Rating,ConfidenceInManagement,Hygiene,Structural,ExtractDate
Porth Bean Road,Newquay,Cornwall,,Porth Lodge Hotel,Hotel/bed & breakfast/guest house,7842,517243,50.422114,-5.054281,C2_235931,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 3LT,9/27/2016,3,10,10,10,11/2/2016
Porth Way,Newquay,Cornwall,,Porth Veor Manor Hotel & Restaurant,Hotel/bed & breakfast/guest house,7842,540252,50.421417,-5.056827,C2_234276,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 3LW,3/17/2016,5,5,5,5,11/2/2016
Grey Gables,Churchtown,St Levan,Penzance,Porthchapel Cream Teas,Restaurant/Cafe/Canteen,1,783800,50.041188,-5.66092,CP15_000728,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR19 6JT,7/30/2015,5,5,5,5,11/2/2016
Porthcothan Stores,Porthcothan Bay,Padstow,Cornwall,Porthcothan Bay Stores,Retailers - other,4613,865178,50.507802,-5.021316,CP16_000043,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL28 8LW,4/13/2016,5,5,5,5,11/2/2016
Porthcurno,Penwith College,St Clare Street,Penzance,Porthcurno Kitchen - Truro And Penwith College,School/college/university,7845,617354,50.124146,-5.543113,CP13_001464,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 2SA,6/9/2015,5,5,5,5,11/2/2016
North Corner,Coverack,Helston,Cornwall,Porthgwara Nursing Home,Hospitals/Childcare/Caring Premises,5,402689,50.028146,-5.095949,W2_00000492,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR12 6TG,4/18/2016,5,5,5,5,11/2/2016
Porthgwarra Shop,Porthgwarra,St Levan,Penzance,Porthgwarra Cafe,Restaurant/Cafe/Canteen,1,658796,50.038372,-5.671449,CP14_000375,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR19 6JR,7/22/2015,5,5,5,5,11/2/2016
Porthgwidden Beach Cafe,Porthgwidden,St Ives,Cornwall,Porthgwidden Beach,Restaurant/Cafe/Canteen,1,439104,50.216778,-5.477294,W1_10_10397_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR26 1PL,9/8/2015,5,5,5,5,11/2/2016
Porthkerris Cove,Porthkerris,St Keverne,Helston,Porthkerris Beach Cafe,Restaurant/Cafe/Canteen,1,900690,50.067371,-5.070831,CP16_000591,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR12 6QJ,3/24/2016,5,5,5,5,11/2/2016
,,,,Porthleven Cornish Crab,Other catering premises,7841,897755,,,CP16_000108,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,6/22/2016,5,5,5,5,11/2/2016
Porthleven School,Torleven Road,Porthleven,Helston,Porthleven Junior School,School/college/university,7845,573998,50.090998,-5.312281,W2_00002325,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR13 9BX,1/13/2015,5,5,5,5,11/2/2016
Porthleven Supermarket Limited,Harbour Head,Porthleven,Helston,Porthleven Supermarket,Retailers - other,4613,528423,50.085447,-5.316051,W2_00002236,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR13 9JA,10/6/2014,5,5,5,5,11/2/2016
Mullion Cove,Mullion,Helston,Cornwall,Porthmellin Cafe,Restaurant/Cafe/Canteen,1,551186,50.015536,-5.257382,W2_00005129,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR12 7ES,6/17/2014,4,10,5,5,11/2/2016
Porthmeor Beach,St Ives,Cornwall,,Porthmeor Beach Cafe,Restaurant/Cafe/Canteen,1,673129,50.214998,-5.48294,W1_10_10390_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR26 1JZ,6/20/2016,5,0,5,5,11/2/2016
Porthmeor Beach,St Ives,Cornwall,,Porthmeor Beach West Bakery,Restaurant/Cafe/Canteen,1,694031,50.214998,-5.48294,CP14_000846,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR26 1JZ,6/24/2015,5,5,5,5,11/2/2016
Beach Cafe,Porthminster Beach Services,Porthminster,St Ives,Porthminster Cafe,Restaurant/Cafe/Canteen,1,447040,50.208205,-5.475773,W1_10_10391_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR26 2EB,10/3/2016,2,10,10,15,11/2/2016
Ocean Grill,Wharf Road,St Ives,Cornwall,Porthminster Kitchen,Restaurant/Cafe/Canteen,1,763266,50.214391,-5.480064,CP15_000494,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR26 1LG,4/30/2015,5,5,5,5,11/2/2016
Porthpean,St Austell,Cornwall,,Porthpean Beach Shop,Restaurant/Cafe/Canteen,1,900644,50.326193,-4.766331,CP16_000538,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL26 6AU,6/7/2016,4,10,5,5,11/2/2016
Porthpean Farm,Porthpean,St Austell,Cornwall,Porthpean Golf Club,Pub/bar/nightclub,7843,540268,50.321579,-4.770475,CP13_000360,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL26 6AY,6/15/2016,4,5,10,5,11/2/2016
Porthpean,St Austell,Cornwall,,Porthpean Outdoor Education Centre,Restaurant/Cafe/Canteen,1,438906,50.317702,-4.778777,CP11_000968,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL26 6AZ,6/7/2016,5,5,5,5,11/2/2016
Porthtowan Beach,Eastcliff,Porthtowan,Cornwall,Porthtowan Beach Cafe,Restaurant/Cafe/Canteen,1,681135,50.287693,-5.240771,CP14_000667,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR4 8AW,8/26/2015,5,5,5,5,11/2/2016
Porthtowan Village Stores,Beach Road,Porthtowan,Truro,Porthtowan Village Store,Retailers - other,4613,590223,50.285537,-5.240358,C1_PI_000040217,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR4 8AD,1/12/2015,2,10,10,15,11/2/2016
Portreath Hotel,The Square,Portreath,Redruth,Portreath Arms,Restaurant/Cafe/Canteen,1,853279,50.261047,-5.288119,CP16_000048,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR16 4LA,2/23/2016,5,0,0,5,11/2/2016
3 The Square,Portreath,Redruth,Cornwall,Portreath Bakery,Takeaway/sandwich shop,7844,439151,50.261047,-5.288119,W2_00003565,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR16 4LA,6/27/2016,5,,,,11/2/2016
Lanner Hill,Lanner,Redruth,Cornwall,Portreath Bakery,Retailers - other,4613,552422,50.216168,-5.19819,W2_00024511,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR16 6HJ,6/27/2016,5,,,,11/2/2016
Duchy Business Centre,Wilson Way,Pool,Redruth,Portreath Bakery Cafe And Shop,Restaurant/Cafe/Canteen,1,810742,50.225692,-5.26071,CP15_000987,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR15 3RT,9/3/2015,5,5,5,0,11/2/2016
Beach Shop,Sea Front,Portreath,Redruth,Portreath Beach Cafe,Restaurant/Cafe/Canteen,1,544731,50.260896,-5.292192,CP11_000985,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR16 4NN,10/3/2014,5,5,5,5,11/2/2016
Portreath Community Primary School,Penberthy Road,Portreath,Redruth,Portreath C P School,School/college/university,7845,589043,50.260478,-5.282804,W2_00003401,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR16 4LU,9/24/2015,5,0,0,5,11/2/2016
,,,,Portreath Ice Cream Kiosk,Mobile caterer,7846,775981,,,CP15_000453,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,7/2/2015,5,5,5,5,11/2/2016
10 Cliff Road,Newquay,Cornwall,,Portuguese Restaurant,Restaurant/Cafe/Canteen,1,900262,50.414376,-5.07718,CP15_000661,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1SG,8/31/2016,3,10,5,10,11/2/2016
16 Market House Arcade,Fore Street,Bodmin,Cornwall,Portuguese Taste,Retailers - other,4613,730601,50.471406,-4.720751,E1_4758,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL31 2JA,1/11/2016,5,5,5,5,11/2/2016
9 West Street,Millbrook,Torpoint,Cornwall,Posh Nosh,Restaurant/Cafe/Canteen,1,573971,50.347151,-4.218682,E2_04_00878_FOOD,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL10 1AA,1/27/2015,5,5,5,5,11/2/2016
,,,,Posh Pasties Events,Mobile caterer,7846,853277,,,CP15_001045,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,3/10/2016,5,5,5,5,11/2/2016
Ladock Post Office,Ladock,Truro,Cornwall,Post Office & Stores,Retailers - other,4613,783786,50.319904,-4.961242,C1_PI_000049383,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR2 4PH,8/5/2015,4,10,5,5,11/2/2016
Fraddon Post Office,1 Parka Road,Fraddon,St Columb,Posta Pizza,Restaurant/Cafe/Canteen,1,893195,50.388462,-4.938062,CP16_000491,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR9 6JY,6/16/2016,4,10,5,5,11/2/2016
High Cross,Constantine,Falmouth,Cornwall,Potager Garden,Restaurant/Cafe/Canteen,1,690577,50.121362,-5.149788,CP14_000783,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 5RE,7/10/2014,5,5,5,5,11/2/2016
55 Fore Street,Bodmin,Cornwall,,Pots Coffee Shop,Restaurant/Cafe/Canteen,1,517257,50.471525,-4.722619,E1_2340,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL31 2JB,6/10/2016,4,5,5,10,11/2/2016
40 - 41 Market Street,Falmouth,Cornwall,,Poundland,Retailers - other,4613,900313,50.155834,-5.069568,CP15_000925,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3AJ,10/5/2016,5,5,0,0,11/2/2016
Pounstretcher Ltd,94 Market Jew Street,Penzance,Cornwall,Poundstretcher,Retailers - other,4613,623914,50.119409,-5.534996,W1_10_11610_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 2LE,1/13/2016,5,5,5,5,11/2/2016
50 Higher Woodside,St Austell,Cornwall,,PQ Event Caterer - Home Caterer,Other catering premises,7841,632632,50.339833,-4.807828,CP13_000612,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL25 5EH,2/16/2016,5,0,0,0,11/2/2016
Reception,Praa Sands Holiday Park,Praa Sands,Penzance,Praa Sands Complex,Pub/bar/nightclub,7843,578057,50.106389,-5.38832,W2_00014663,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR20 9SH,7/27/2015,4,10,5,0,11/2/2016
Pengersick Lane,Praa Sands,Penzance,Cornwall,Praa Sands Post Office And Stores,Retailers - other,4613,402754,50.105003,-5.38555,W2_00015508,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR20 9SQ,3/24/2015,5,5,5,5,11/2/2016
St Austell One Stop Shop,39 Penwinnick Road,St Austell,Cornwall,Pranzo,Restaurant/Cafe/Canteen,1,607965,50.333713,-4.797517,CP13_001327,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL25 5DR,4/22/2015,5,5,5,5,11/2/2016
Margots,11 Duke Street,Padstow,Cornwall,Prawn On The Lawn,Restaurant/Cafe/Canteen,1,802157,50.541732,-4.93951,CP15_000574,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL28 8AB,9/9/2015,4,10,5,5,11/2/2016
4 East Street,Newquay,Cornwall,,Prego Prego,Restaurant/Cafe/Canteen,1,576242,50.413796,-5.080747,CP12_000001,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1BH,8/24/2016,5,5,5,5,11/2/2016
Pre-Shool Breakfast Club,Bodriggy Academy,Humphry Davy Lane,Hayle,Pre-School Breakfast Club,School/college/university,7845,834003,50.1874,-5.410155,W1_10_11814_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR27 4DR,12/4/2015,5,5,5,5,11/2/2016
7 Bank Street,Newquay,Cornwall,,Presto,Takeaway/sandwich shop,7844,465866,50.413426,-5.085904,C2_236200,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1EP,10/26/2015,2,10,5,15,11/2/2016
7 Arwenack Street,Falmouth,Cornwall,,Presto Retail,Retailers - other,4613,438798,50.153398,-5.067467,C1_PI_000003772,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3HZ,1/6/2016,2,5,5,15,11/2/2016
Cult Retail,6 - 8 Fore Street,St Ives,Cornwall,Presto Retail,Restaurant/Cafe/Canteen,1,402644,50.213153,-5.480254,W1_10_11141_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR26 1AB,4/21/2015,4,5,5,10,11/2/2016
Prezzo Ltd,Ground Floor,The Post Office,The Moor,Prezzo,Restaurant/Cafe/Canteen,1,402055,50.155014,-5.073017,C1_PI_000050835,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3QA,12/15/2014,5,0,0,0,11/2/2016
Unit 1,The Ark,1 East Street,Newquay,Prezzo,Restaurant/Cafe/Canteen,1,730590,50.414189,-5.080857,CP14_000873,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1DN,12/17/2014,5,5,5,5,11/2/2016
Unit 16,White River Place,St Austell,Cornwall,Prezzo,Restaurant/Cafe/Canteen,1,665728,50.337396,-4.793644,CP14_000358,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL25 5AZ,4/12/2016,5,0,5,0,11/2/2016
Tregirls Lane,Padstow,Cornwall,,Prideaux Place,Restaurant/Cafe/Canteen,1,445760,50.542616,-4.945833,E1_51400,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL28 8RP,8/23/2016,5,5,5,5,11/2/2016
Primrose Cottage,Bossiney Road,Bossiney,Tintagel,Primrose Cottage Cafe,Restaurant/Cafe/Canteen,1,402401,50.66241,-4.748835,E1_44547,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL34 0AJ,5/9/2016,5,5,5,5,11/2/2016
Primrose Valley,St Ives,Cornwall,,Primrose Valley Hotel,Hotel/bed & breakfast/guest house,7842,449430,50.3524704,-4.960772514,W1_10_10145_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR26 2ED,9/20/2012,5,5,5,5,11/2/2016
Prince Of Wales Inn,4 Market Strand,Falmouth,Cornwall,Prince Of Wales,Pub/bar/nightclub,7843,516134,50.156273,-5.071347,C1_PI_000008611,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3DB,8/2/2016,5,5,5,0,11/2/2016
Newtown,St Martin,Helston,Cornwall,Prince Of Wales Inn,Pub/bar/nightclub,7843,445794,50.06565094,-5.156657696,W2_11_00025_CP,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR12 6DP,8/7/2015,5,5,5,5,11/2/2016
30 Mount Wise,Newquay,Cornwall,,Priory Lodge Hotel,Hotel/bed & breakfast/guest house,7842,402096,50.411996,-5.08315,C2_219491,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 2BN,5/19/2016,5,5,5,5,11/2/2016
Probus Kids Club,Probus Community Primary School,Ladock Road,Probus,Probus (Kids Club) School,Other catering premises,7841,540275,50.294177,-4.951723,CP13_000448,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR2 4LE,2/8/2013,Exempt,,,,11/2/2016
Probus Community Primary School,Ladock Road,Probus,Truro,Probus CP School,School/college/university,7845,642048,50.294177,-4.951723,CP13_000914,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR2 4LE,7/13/2015,5,5,5,5,11/2/2016
Probus Fish And Chips,The Shrubbery,The Square,Probus,Probus Fish & Chip Shop,Takeaway/sandwich shop,7844,493782,50.292602,-4.952468,C1_PI_000039749,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR2 4LA,7/15/2016,5,5,5,5,11/2/2016
Fore Street,Probus,Truro,Cornwall,Probus School Filling Station,Retailers - other,4613,571168,50.292309,-4.958643,C1_PI_000039253,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR2 4LZ,1/29/2015,5,5,0,0,11/2/2016
Village Hall,Fore Street,Probus,Truro,Probus Village Hall Luncheon Club,Other catering premises,7841,528267,50.292561,-4.954755,C1_PI_000039600,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR2 4NB,3/16/2016,4,10,5,5,11/2/2016
,,,,Proper Pancakes,Mobile caterer,7846,716588,,,CP14_000693,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,11/5/2014,5,5,5,5,11/2/2016
43 Trelawney Road,Falmouth,Cornwall,,Provedore,Restaurant/Cafe/Canteen,1,402014,50.151464,-5.070521,C1_PI_000012895,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3LY,3/17/2016,5,,,,11/2/2016
Unit A11,Prow Park,Treloggan Industrial Estate,Newquay,Prow Park Cafe And Takeaway,Restaurant/Cafe/Canteen,1,897760,50.404819,-5.061993,CP16_000452,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 2SX,7/5/2016,5,5,5,5,11/2/2016
Public House At,Widemouth Bay Caravan Site,Poundstock,Bude,Public House,Pub/bar/nightclub,7843,439023,50.781661,-4.551061,E1_51523,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,EX23 0DE,8/12/2016,3,10,10,5,11/2/2016
Pucellis,Market Strand,Padstow,Cornwall,Pucelli's Restaurant,Restaurant/Cafe/Canteen,1,402407,50.541523,-4.938565,E1_49749,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL28 8AH,5/13/2015,3,10,10,5,11/2/2016
,,,,Puddleducks Bakery - Home Caterer,Other catering premises,7841,831078,,,CP15_000975,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,11/23/2015,4,5,5,10,11/2/2016
33 Dolcoath Road,Camborne,Cornwall,,Puffin Devil,Retailers - other,4613,814961,50.216544,-5.288406,CP15_000625,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR14 8RW,10/29/2015,5,0,0,0,11/2/2016
Units C And D,Helston Gunsmiths,Water Ma Trout,Helston,Puffins Day Nursery,Hospitals/Childcare/Caring Premises,5,408143,50.112479,-5.26985,W2_00001360,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR13 0LW,6/16/2016,4,5,10,5,11/2/2016
,,,,Pulse,Mobile caterer,7846,750952,,,CP14_000856,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,4/11/2015,5,0,5,5,11/2/2016
Station Buffet,Station Road,Truro,Cornwall,Pumpkin,Restaurant/Cafe/Canteen,1,510739,50.263936,-5.064141,C1_PI_000021717,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR1 3HH,1/20/2016,4,5,5,10,11/2/2016
Punch Bowl & Ladle Inn,Penelewey,Feock,Truro,Punch Bowl And Ladle,Pub/bar/nightclub,7843,626152,50.224669,-5.06179,CP14_000064,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR3 6QY,8/7/2015,5,5,5,5,11/2/2016
,,,,Pure Indulgence - Home Caterer,Other catering premises,7841,622621,,,CP13_001324,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,6/12/2015,5,5,5,5,11/2/2016
RJS Conrwall Ltd,51 - 56 Pydar Street,Truro,Cornwall,Pydar Stores,Retailers - other,4613,552385,50.26612,-5.056043,CP13_000167,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR1 2SW,8/31/2016,4,10,5,5,11/2/2016
PZ Gallery,Former Vospers Site,Coinagehall Street,Penzance,PZ Cafe,Restaurant/Cafe/Canteen,1,682720,50.115958,-5.531636,CP14_000613,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 4AY,7/12/2016,4,5,5,10,11/2/2016
The Royal British Legion,Bread Street,Penzance,Cornwall,PZ Royal British Legion Club,Pub/bar/nightclub,7843,439082,50.119543,-5.536532,W1_10_10040_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 2EQ,7/24/2012,5,5,5,5,11/2/2016
"Q Tea Room, Studio And Gallery",Quay Road,St Agnes,Cornwall,Q Tea Room,Restaurant/Cafe/Canteen,1,722539,50.317054,-5.201941,CP14_000756,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR5 0RS,12/5/2014,5,5,5,5,11/2/2016
,,,,Quality Cuisine,Mobile caterer,7846,557639,,,W2_07_00019_CP,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,7/14/2015,5,5,5,5,11/2/2016
37 Fore Street,Fowey,Cornwall,,Quay Bakery,Retailers - other,4613,456218,50.33594,-4.634551,CP12_001086,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL23 1AH,2/4/2016,5,5,5,5,11/2/2016
,,,,Quay Side At Home - Home Caterer,Other catering premises,7841,704334,,,CP14_000913,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,9/19/2014,5,5,5,5,11/2/2016
Fore Street,Porthleven,Helston,Cornwall,Quayside Fish,Retailers - other,4613,847745,50.085396,-5.315642,CP16_000045,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR13 9HJ,1/19/2016,4,10,5,5,11/2/2016
The Quayside Inn And Bistro,41 Arwenack Street,Falmouth,Cornwall,Quayside Inn,Pub/bar/nightclub,7843,591564,50.152151,-5.065301,CP11_000502,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3LH,7/8/2016,2,10,5,15,11/2/2016
Queenies Cottage,London Apprentice,St Austell,Cornwall,Queenies Shop,Retailers - other,4613,552364,50.317081,-4.800881,C2_210727,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL26 7AR,4/15/2016,3,10,5,10,11/2/2016
Botallack,St Just,Penzance,Cornwall,Queens Arms,Pub/bar/nightclub,7843,409781,50.137522,-5.684361,W1_10_10329_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR19 7QG,8/17/2015,5,,,,11/2/2016
1 The Square,St Stephen,St Austell,Cornwall,Queens Head,Pub/bar/nightclub,7843,402085,50.343371,-4.889186,C2_211500,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL26 7SQ,6/24/2015,5,5,0,5,11/2/2016
Promenade,Penzance,Cornwall,,Queens Hotel,Hotel/bed & breakfast/guest house,7842,583116,50.114144,-5.537757,W1_10_10896_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 4HG,2/18/2015,5,5,5,5,11/2/2016
Quethiock C Of E Junior & Infant Sc,Quethiock,Liskeard,Cornwall,Quethiock CP School,School/college/university,7845,569118,50.458203,-4.37855,E2_04_00887_FOOD,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL14 3SQ,1/7/2015,5,5,5,5,11/2/2016
5 - 7 Trevose Avenue,Newquay,Cornwall,,Qumran,Hospitals/Childcare/Caring Premises,5,492640,50.413916,-5.09282,C2_209352,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1NJ,1/6/2016,5,5,5,5,11/2/2016
Penhalvean Farm,Penhalvean,Redruth,Cornwall,R J Trevarthen,Retailers - other,4613,492689,50.196377,-5.209619,W2_00016744,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR16 6TQ,2/24/2016,5,5,5,5,11/2/2016
R J Trevathen,Cherry Tree,Fore Street,Tintagel,R J Trevarthen Wholesale Butcher & Abattoir,Retailers - other,4613,554799,50.663498,-4.75112,CP13_000045,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL34 0DA,6/30/2016,1,20,5,5,11/2/2016
Way Cross Hill,North Hill,Launceston,Cornwall,Race Horse Inn,Hotel/bed & breakfast/guest house,7842,810727,50.563434,-4.440416,CP15_000689,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL15 7PG,10/15/2015,4,10,0,10,11/2/2016
,,,,Rachel Hore - Home Caterer,Other catering premises,7841,735029,,,CP15_000018,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,2/4/2015,5,5,5,5,11/2/2016
The Radjel Inn,Boscaswell Terrace,Pendeen,Penzance,Radjel Inn,Pub/bar/nightclub,7843,502505,50.152283,-5.661455,W1_10_10310_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR19 7DS,2/4/2016,4,5,5,10,11/2/2016
Radnor Golf Centre,Radnor Road,Radnor,Redruth,Radnor Golf & Leisure,Pub/bar/nightclub,7843,402740,50.252903,-5.211749,W2_00007170,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR16 5EL,5/27/2015,5,5,5,5,11/2/2016
